

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: no

enemies list: 5

current enemy: 5

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [5]

RUN: run status: enemy: 5; fitness: -103.32775527898211; player life: 35.800000000000274; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.04737217904628; player life: 0; enemy life: 100; time: 423

RUN: run status: enemy: 5; fitness: -106.63331843328038; player life: 0; enemy life: 100; time: 760

RUN: run status: enemy: 5; fitness: -103.1477552789821; player life: 37.60000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -101.2277552789821; player life: 56.800000000000324; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 88.71455310235679; player life: 43.60000000000029; enemy life: 0; time: 283

RUN: run status: enemy: 5; fitness: -106.18826412308259; player life: 0; enemy life: 100; time: 487

RUN: run status: enemy: 5; fitness: -100.26775527898211; player life: 66.40000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -100.5077552789821; player life: 64.00000000000034; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -30.496774990185862; player life: 0; enemy life: 60.0; time: 663

RUN: run status: enemy: 5; fitness: -103.9277552789821; player life: 29.80000000000026; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 93.65859563501554; player life: 87.40000000000012; enemy life: 0; time: 161

RUN: run status: enemy: 5; fitness: -102.4877552789821; player life: 44.200000000000294; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.23244801655052; player life: 0; enemy life: 100; time: 509

RUN: run status: enemy: 5; fitness: -101.9477552789821; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -103.74775527898211; player life: 31.600000000000264; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.90775527898211; player life: 70.00000000000028; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.383506634884; player life: 0; enemy life: 100; time: 592

RUN: run status: enemy: 5; fitness: -100.32775527898211; player life: 65.80000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -98.58775527898212; player life: 83.20000000000016; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.30627528694802; player life: 0; enemy life: 100; time: 548

RUN: run status: enemy: 5; fitness: -101.1677552789821; player life: 57.400000000000325; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -101.9477552789821; player life: 49.60000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -9.407755278982108; player life: 25.00000000000025; enemy life: 50.0; time: 1000

RUN: run status: enemy: 5; fitness: -98.10775527898213; player life: 88.00000000000011; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -87.70318811324086; player life: 0; enemy life: 90.0; time: 815

RUN: run status: enemy: 5; fitness: -101.8877552789821; player life: 50.20000000000031; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -106.08677472691231; player life: 0; enemy life: 100; time: 440

RUN: run status: enemy: 5; fitness: -45.067755278982105; player life: 48.400000000000304; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: -100.8077552789821; player life: 61.000000000000334; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -49.320768294250584; player life: 0; enemy life: 70.0; time: 556

RUN: run status: enemy: 5; fitness: -106.40522845803085; player life: 0; enemy life: 100; time: 605

RUN: run status: enemy: 5; fitness: -98.52775527898213; player life: 83.80000000000015; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -45.247755278982105; player life: 46.6000000000003; enemy life: 70.0; time: 1000

RUN: run status: enemy: 5; fitness: -106.33505425149806; player life: 0; enemy life: 100; time: 564

RUN: run status: enemy: 5; fitness: -102.18775527898211; player life: 47.2000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: 87.24324619773175; player life: 29.20000000000026; enemy life: 0; time: 292

RUN: run status: enemy: 5; fitness: -87.35088571671474; player life: 0; enemy life: 90.0; time: 573

RUN: run status: enemy: 5; fitness: -68.34738920965601; player life: 0; enemy life: 80.0; time: 571

RUN: run status: enemy: 5; fitness: 26.52456728329591; player life: 0; enemy life: 30.0; time: 649

RUN: run status: enemy: 5; fitness: 90.44901301948917; player life: 60.40000000000033; enemy life: 0; time: 268

RUN: run status: enemy: 5; fitness: -106.35088571671474; player life: 0; enemy life: 100; time: 573

RUN: run status: enemy: 5; fitness: -100.1477552789821; player life: 67.6000000000003; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.24775527898211; player life: 76.60000000000022; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -49.17586727010576; player life: 0; enemy life: 70.0; time: 481

RUN: run status: enemy: 5; fitness: -79.76775527898212; player life: 81.40000000000018; enemy life: 90.0; time: 1000

RUN: run status: enemy: 5; fitness: -106.27852142416585; player life: 0; enemy life: 100; time: 533

RUN: run status: enemy: 5; fitness: -98.10775527898213; player life: 88.00000000000011; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -101.2877552789821; player life: 56.20000000000032; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -103.74775527898211; player life: 31.600000000000264; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -97.14775527898213; player life: 97.60000000000002; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -99.4877552789821; player life: 74.20000000000024; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -98.16775527898213; player life: 87.40000000000012; enemy life: 100; time: 1000

RUN: run status: enemy: 5; fitness: -98.58775527898212; player life: 83.20000000000016; enemy life: 100; time: 1000

