,group,enemies_slain,gain,player_life,enemy_life,time
0,best_3,2.4,-181.03999999999948,14.370000000000065,37.0,2438.8
1,best_9,3.0,-135.19999999999953,9.850000000000062,26.75,2395.5
2,best_8,2.2,-268.9199999999995,8.385000000000057,42.0,2410.725
3,best_5,1.6,-244.3999999999998,4.45000000000002,35.0,2384.125
4,best_7,2.8,-209.2799999999992,16.3400000000001,42.5,2335.375
5,best_6,2.6,-90.95999999999955,12.630000000000056,24.0,2394.325
6,best_1,1.8,-275.51999999999947,8.310000000000061,42.75,2311.475
7,best_10,2.4,-199.03999999999922,11.370000000000093,36.25,2076.0
8,best_4,1.6,-280.55999999999983,6.93000000000004,42.0,2332.975
9,best_2,1.4,-289.35999999999956,8.83000000000004,45.0,2358.6
