,group,enemies_slain,gain,player_life,enemy_life,time
0,best_7,1.6,-274.67999999999984,16.415000000000024,50.75,2448.975
1,best_4,2.0,-205.0399999999998,18.870000000000026,44.5,2424.275
2,best_8,2.0,-167.11999999999972,18.36000000000003,39.25,2398.15
3,best_6,1.6,-194.35999999999984,14.205000000000018,38.5,2392.15
4,best_1,2.0,-95.91999999999969,15.760000000000039,27.75,2385.9
5,best_10,2.0,-203.19999999999973,16.850000000000033,42.25,2397.85
6,best_9,2.0,-192.1199999999997,15.735000000000037,39.75,2400.75
7,best_5,2.0,-209.83999999999983,18.52000000000002,44.75,2371.725
8,best_2,2.0,-199.47999999999968,16.31500000000004,41.25,2407.175
9,best_3,2.0,-171.03999999999968,15.620000000000037,37.0,2406.65
