

MESSAGE: Pygame initialized for simulation.

########## Simulation state - INI ###########

# solutions # : EMPTY 

# sensors # : 20

 ------  parameters ------  

# contact hurt (training agent) # : player

multiple mode: yes

enemies list: 6 8

current enemy: 6

player mode: ai

enemy mode: static

level: 2

clock precision: low

inputs coded: no

random initialization: yes

expiration time: 3000

speed: fastest

load player: yes

load enemy: yes

sound: off

overture time: 100

logs: on

save logs: yes

########## Simulation state - END ###########

PARAMETER CHANGE: enemies = [6, 8]

RUN: run status: enemy: 6; fitness: -105.54126354515843; player life: 0; enemy life: 100; time: 255

RUN: run status: enemy: 8; fitness: -105.68017260901706; player life: 0; enemy life: 100; time: 293

RUN: run status: enemy: 6; fitness: -104.26267987704132; player life: 0; enemy life: 100; time: 71

RUN: run status: enemy: 8; fitness: -105.27299955856375; player life: 0; enemy life: 100; time: 195

RUN: run status: enemy: 6; fitness: -105.03043792139243; player life: 0; enemy life: 100; time: 153

RUN: run status: enemy: 8; fitness: -105.29831736654803; player life: 0; enemy life: 100; time: 200

RUN: run status: enemy: 6; fitness: -105.64544689764324; player life: 0; enemy life: 100; time: 283

RUN: run status: enemy: 8; fitness: -106.1246833908942; player life: 0; enemy life: 100; time: 457

RUN: run status: enemy: 6; fitness: -105.33271879326537; player life: 0; enemy life: 100; time: 207

RUN: run status: enemy: 8; fitness: -105.33753807970132; player life: 0; enemy life: 100; time: 208

RUN: run status: enemy: 6; fitness: -104.58496747867058; player life: 0; enemy life: 100; time: 98

RUN: run status: enemy: 8; fitness: -86.27811465923051; player life: 0; enemy life: 90.0; time: 196

RUN: run status: enemy: 6; fitness: -87.05208916892441; player life: 0; enemy life: 90.0; time: 425

RUN: run status: enemy: 8; fitness: -105.95842469302978; player life: 0; enemy life: 100; time: 387

RUN: run status: enemy: 6; fitness: -105.4638318050256; player life: 0; enemy life: 100; time: 236

RUN: run status: enemy: 8; fitness: -67.60947179518496; player life: 0; enemy life: 80.0; time: 273

RUN: run status: enemy: 6; fitness: -105.11198778835654; player life: 0; enemy life: 100; time: 166

RUN: run status: enemy: 8; fitness: -105.38449506278909; player life: 0; enemy life: 100; time: 218

RUN: run status: enemy: 6; fitness: -105.4553211153577; player life: 0; enemy life: 100; time: 234

RUN: run status: enemy: 8; fitness: 27.11389596854984; player life: 0; enemy life: 30.0; time: 360

RUN: run status: enemy: 6; fitness: -105.64544689764324; player life: 0; enemy life: 100; time: 283

RUN: run status: enemy: 8; fitness: -105.67675380226828; player life: 0; enemy life: 100; time: 292

RUN: run status: enemy: 6; fitness: -104.63472898822964; player life: 0; enemy life: 100; time: 103

RUN: run status: enemy: 8; fitness: -105.21493575760898; player life: 0; enemy life: 100; time: 184

RUN: run status: enemy: 6; fitness: -105.99645208861902; player life: 0; enemy life: 100; time: 402

RUN: run status: enemy: 8; fitness: -105.84354441703135; player life: 0; enemy life: 100; time: 345

RUN: run status: enemy: 6; fitness: -104.63472898822964; player life: 0; enemy life: 100; time: 103

RUN: run status: enemy: 8; fitness: -105.27811465923051; player life: 0; enemy life: 100; time: 196

RUN: run status: enemy: 6; fitness: -105.07517381523382; player life: 0; enemy life: 100; time: 160

RUN: run status: enemy: 8; fitness: -105.29831736654803; player life: 0; enemy life: 100; time: 200

RUN: run status: enemy: 6; fitness: -106.13772705408624; player life: 0; enemy life: 100; time: 463

RUN: run status: enemy: 8; fitness: -105.63121178182136; player life: 0; enemy life: 100; time: 279

RUN: run status: enemy: 6; fitness: -104.75359019110637; player life: 0; enemy life: 100; time: 116

RUN: run status: enemy: 8; fitness: -86.18738580584076; player life: 0; enemy life: 90.0; time: 179

RUN: run status: enemy: 6; fitness: -106.11368217983224; player life: 0; enemy life: 100; time: 452

